x1 x2 x3 x4
0.27608000 0.22958000 0.24799000 0.24635000
0.27614307 0.22957730 0.24793131 0.24634832
0.27620592 0.22957476 0.24787265 0.24634668
0.27626856 0.22957236 0.24781401 0.24634507
0.27633098 0.22957012 0.24775541 0.24634349
0.27639319 0.22956803 0.24769684 0.24634194
0.27645518 0.22956610 0.24763830 0.24634042
0.27651696 0.22956431 0.24757979 0.24633894
0.27657852 0.22956268 0.24752131 0.24633749
0.27663986 0.22956120 0.24746286 0.24633608
0.27670099 0.22955987 0.24740445 0.24633469
0.27676190 0.22955869 0.24734607 0.24633334
0.27682259 0.22955767 0.24728772 0.24633202
0.27688306 0.22955680 0.24722941 0.24633074
0.27694331 0.22955607 0.24717113 0.24632948
0.27700334 0.22955551 0.24711289 0.24632826
0.27706315 0.22955509 0.24705468 0.24632707
0.27712274 0.22955483 0.24699651 0.24632592
0.27718211 0.22955472 0.24693837 0.24632480
0.27724126 0.22955476 0.24688027 0.24632370
0.27730019 0.22955495 0.24682221 0.24632265
0.27735890 0.22955529 0.24676419 0.24632162
0.27741738 0.22955579 0.24670620 0.24632063
0.27747564 0.22955644 0.24664825 0.24631967
0.27753368 0.22955724 0.24659034 0.24631874
0.27759149 0.22955819 0.24653247 0.24631784
0.27764908 0.22955930 0.24647464 0.24631698
0.27770645 0.22956055 0.24641685 0.24631615
0.27776359 0.22956196 0.24635910 0.24631535
0.27782050 0.22956352 0.24630139 0.24631458
0.27787719 0.22956524 0.24624373 0.24631385
0.27793365 0.22956710 0.24618610 0.24631315
0.27798989 0.22956912 0.24612852 0.24631248
0.27804590 0.22957129 0.24607098 0.24631184
0.27810168 0.22957361 0.24601348 0.24631123
0.27815723 0.22957608 0.24595602 0.24631066
0.27821256 0.22957870 0.24589861 0.24631012
0.27826766 0.22958148 0.24584125 0.24630961
0.27832253 0.22958441 0.24578393 0.24630914
0.27837716 0.22958749 0.24572665 0.24630870
0.27843157 0.22959072 0.24566942 0.24630828
0.27848575 0.22959410 0.24561224 0.24630790
0.27853970 0.22959763 0.24555510 0.24630756
0.27859342 0.22960132 0.24549801 0.24630724
0.27864691 0.22960516 0.24544097 0.24630696
0.27870017 0.22960915 0.24538398 0.24630671
0.27875319 0.22961329 0.24532703 0.24630649
0.27880598 0.22961758 0.24527013 0.24630631
0.27885854 0.22962203 0.24521328 0.24630615
0.27891087 0.22962662 0.24515648 0.24630603
0.27896296 0.22963137 0.24509973 0.24630594
0.27901482 0.22963627 0.24504303 0.24630588
0.27906645 0.22964131 0.24498638 0.24630586
